,Sollzinsbindung,Effektiver Jahreszins,Datenstand
0,5 Jahre,"['3,53']",['28.12.2022 16:30']
1,10 Jahre,"['3,51']",['28.12.2022 16:30']
2,15 Jahre,"['3,64']",['28.12.2022 16:30']
3,20 Jahre,"['3,79']",['28.12.2022 16:30']
4,25 Jahre,"['3,86']",['28.12.2022 16:30']
