,Sollzinsbindung,Effektiver Jahreszins,Datenstand
0,5 Jahre,"['3,53']",['01.01.2023 16:30']
1,10 Jahre,"['3,60']",['01.01.2023 16:30']
2,15 Jahre,"['3,69']",['01.01.2023 16:30']
3,20 Jahre,"['3,78']",['01.01.2023 16:30']
4,25 Jahre,"['3,86']",['01.01.2023 16:30']
