,ID,Ort,Umkreis,MaxOrt,Preis,Fläche,Zimmer,Grundstücksfläche,Kategorie,Etagen,Baujahr,Effizienzklasse,Energieträger,Heizungsart
32,27sl65n,berlin,50,max. 30 km,598.000 €,['305 m²'],['10 Zi.'],['567 m²'],['Mehrfamilienhaus'],n.a,['1995'],n.a,['Gas'],['Zentralheizung']
33,255kf5z,berlin,50,max. 30 km,1.350.000 €,['545 m²'],['25 Zi.'],['3.214 m²'],['Einfamilienhaus'],n.a,['2002'],['C'],['Gas'],['Zentralheizung']
34,25w4n5u,berlin,50,max. 30 km,1.099.000 €,['260 m²'],['10 Zi.'],['900 m²'],['Villa'],['2 Geschosse'],['1912'],['F'],['Gas'],['Zentralheizung']
35,28e2d5d,berlin,50,max. 30 km,3.500.000 €,['844 m²'],['48 Zi.'],['427 m²'],['Mehrfamilienhaus'],n.a,['1756'],n.a,['Gas'],n.a
36,27snp5e,berlin,50,max. 30 km,620.749 €,['124.85 m²'],['6 Zi.'],"['351,90 m²']",n.a,['2 Geschosse'],n.a,n.a,n.a,['Luft-/Wasser-Wärmepumpe']
37,27zpl59,berlin,50,max. 50 km,950.000 €,['287 m²'],['6 Zi.'],['1.145 m²'],['Villa'],n.a,['1990'],['D'],['Gas'],"['offener Kamin, Zentralheizung']"
38,27mem5u,berlin,50,max. 50 km,799.000 €,['169 m²'],['6 Zi.'],['1.047 m²'],['Einfamilienhaus'],n.a,['2019'],['D'],['Gas'],n.a
39,28t2h56,berlin,50,max. 50 km,570.000 €,['117.5 m²'],['4 Zi.'],['706 m²'],['Bungalow'],n.a,['2016'],['C'],['Gas'],['Fußbodenheizung']
40,27xwa5d,berlin,50,max. 50 km,355.555 €,['82.36 m²'],['5 Zi.'],['504 m²'],['Bungalow'],n.a,['1986'],['C'],['Öl'],['Zentralheizung']
41,284ep58,berlin,50,max. 50 km,220.000 €,['81.51 m²'],['3 Zi.'],['583 m²'],['Einfamilienhaus'],n.a,['1936'],['H'],['Öl'],n.a
42,26j9s5q,berlin,50,max. 50 km,275.000 €,['154 m²'],['7 Zi.'],['2.680 m²'],['Bauernhaus'],n.a,['1890'],['H'],['Gas'],['Zentralheizung']
43,24qpr5n,berlin,50,max. 50 km,599.000 €,['268.35 m²'],['11 Zi.'],['1.981 m²'],['Mehrfamilienhaus'],n.a,['1921'],['D'],['Gas'],['Etagenheizung']
44,27jzs54,berlin,50,max. 50 km,460.000 €,['134 m²'],['4 Zi.'],['530 m²'],n.a,['2 Geschosse'],['2018'],['B'],"['Gas, Solar']",['Fußbodenheizung']
45,26z8259,berlin,50,max. 50 km,480.000 €,['115 m²'],['5 Zi.'],['1.000 m²'],['Einfamilienhaus'],['1 Geschoss'],['2001'],['E'],['Gas'],['Zentralheizung']
46,27jah5w,berlin,50,max. 50 km,443.000 €,['90 m²'],['4 Zi.'],['654 m²'],['Einfamilienhaus'],n.a,['1990'],n.a,n.a,n.a
47,26nbx5a,berlin,50,max. 5 km,44.444 €,['20 m²'],['2 Zi.'],['k.A.'],['Einfamilienhaus'],['1 Geschoss'],['2022'],n.a,['Elektro'],['Fußbodenheizung']
48,27zc45x,berlin,50,max. 10 km,760.000 €,['144.67 m²'],['5 Zi.'],['132 m²'],['Reihenmittelhaus'],['3 Geschosse'],['2013'],['B'],n.a,['Zentralheizung']
49,2783c58,berlin,50,max. 10 km,3.500.000 €,['295 m²'],['9 Zi.'],['1.128 m²'],['Villa'],n.a,['1900'],n.a,n.a,n.a
50,289xe58,berlin,50,max. 10 km,auf Anfrage,['1490 m²'],[],['1.199 m²'],['Mehrfamilienhaus'],['4 Geschosse'],['1960'],['E'],['Öl'],['Zentralheizung']
51,26rq55g,berlin,50,max. 10 km,870.000 €,['53 m²'],['2 Zi.'],['1.461 m²'],['Einfamilienhaus'],n.a,n.a,['H'],n.a,n.a
52,28hzn53,berlin,50,max. 10 km,699.996 €,['176.42 m²'],['7 Zi.'],['601 m²'],['Einfamilienhaus'],n.a,['1987'],['D'],['Öl'],['Zentralheizung']
53,27y4n5u,berlin,50,max. 10 km,649.000 €,['98 m²'],['4 Zi.'],['302 m²'],['Doppelhaushälfte'],['3 Geschosse'],['1970'],['E'],['Öl'],['Zentralheizung']
54,28t7z57,berlin,50,max. 15 km,595.000 €,['96 m²'],['4 Zi.'],['573 m²'],['Doppelhaushälfte'],n.a,['1968'],['C'],['Gas'],['Zentralheizung']
55,26qt55g,berlin,50,max. 15 km,835.000 €,['160 m²'],['7 Zi.'],['451 m²'],['Einfamilienhaus'],['2 Geschosse'],['1938'],['H'],['Gas'],['Zentralheizung']
56,27w2q5p,berlin,50,max. 15 km,499.000 €,['105 m²'],['3 Zi.'],['356 m²'],['Doppelhaushälfte'],n.a,['1976'],['G'],['Öl'],['Zentralheizung']
57,27nfc5t,berlin,50,max. 15 km,1.190.000 €,['146 m²'],['6 Zi.'],['328 m²'],['Reihenmittelhaus'],['3 Geschosse'],['1928'],['G'],['Gas'],['Zentralheizung']
