,ID,Ort,Umkreis,MaxOrt,Preis,Fläche,Zimmer,Grundstücksfläche,Kategorie,Etagen,Baujahr,Effizienzklasse,Energieträger,Heizungsart,Stand
0,28zn659,berlin,50,max. 15 km,7.790.000 €,['780 m²'],['30 Zi.'],['1.696 m²'],['Villa'],['5 Geschosse'],['1890'],n.a,n.a,n.a,2022-12-29
1,28jr359,berlin,50,max. 30 km,450.000 €,['111 m²'],['5 Zi.'],['1.100 m²'],['Einfamilienhaus'],['2 Geschosse'],['1936'],['H'],"['Gas, Kohle']",['Zentralheizung'],2022-12-29
2,274he5l,berlin,50,max. 10 km,690.000 €,['323 m²'],['8 Zi.'],['393 m²'],['Mehrfamilienhaus'],n.a,['1990'],['D'],['Gas'],['Zentralheizung'],2022-12-29
3,26zkl56,berlin,50,max. 10 km,429.000 €,['97 m²'],['4 Zi.'],['407 m²'],['Einfamilienhaus'],n.a,['1958'],['E'],['Öl'],['Zentralheizung'],2022-12-29
4,279kt5y,berlin,50,max. 10 km,1.700.000 €,['186.62 m²'],['8 Zi.'],['502 m²'],['Mehrfamilienhaus'],n.a,['1936'],n.a,['Fernwärme'],['Zentralheizung'],2022-12-29
5,27a225p,berlin,50,max. 10 km,7.500.000 €,['524.46 m²'],['9.5 Zi.'],['1.032 m²'],['Villa'],n.a,['2005'],['D'],['Gas'],"['Fußbodenheizung, Zentralheizung']",2022-12-29
6,28g8n58,berlin,50,max. 10 km,1.750.000 €,['140 m²'],['5 Zi.'],['1.200 m²'],['Doppelhaushälfte'],n.a,['1925'],n.a,['Gas'],['Zentralheizung'],2022-12-29
7,27w5v5j,berlin,50,max. 15 km,795.000 €,['170 m²'],['8 Zi.'],['568 m²'],['Einfamilienhaus'],n.a,['1933'],['F'],['Gas'],n.a,2022-12-29
8,27bge5l,berlin,50,max. 15 km,1.100.000 €,['184 m²'],['5 Zi.'],['470 m²'],['Einfamilienhaus'],n.a,['1999'],['F'],['Gas'],['Zentralheizung'],2022-12-29
9,25ctr5u,berlin,50,max. 15 km,650.000 €,['152.72 m²'],['5 Zi.'],['120 m²'],['Reihenmittelhaus'],n.a,['2000'],n.a,['Gas'],['Etagenheizung'],2022-12-29
10,27nhe5l,berlin,50,max. 15 km,1.140.000 €,['154 m²'],['5 Zi.'],"['237,40 m²']",['Reihenmittelhaus'],n.a,['2017'],['B'],['Fernwärme'],n.a,2022-12-29
11,28xyz53,berlin,50,max. 15 km,549.000 €,['135 m²'],['4 Zi.'],['775 m²'],['Einfamilienhaus'],n.a,['1976'],['D'],n.a,['Zentralheizung'],2022-12-29
12,26eq85w,berlin,50,max. 15 km,950.000 €,['286 m²'],['9 Zi.'],['841 m²'],['Mehrfamilienhaus'],n.a,['1964'],n.a,['Öl'],n.a,2022-12-29
13,26pew5r,berlin,50,max. 15 km,1.590.000 €,['147 m²'],['5 Zi.'],['409 m²'],['Reihenendhaus'],n.a,['2016'],n.a,['Gas'],['Fußbodenheizung'],2022-12-29
14,28z9y5c,berlin,50,max. 15 km,995.000 €,['121.55 m²'],['5 Zi.'],['414 m²'],['Doppelhaushälfte'],n.a,['1957'],['F'],['Gas'],['Zentralheizung'],2022-12-29
15,27yc95r,berlin,50,max. 15 km,344.000 €,['190.8 m²'],['1 Zi.'],['70 m²'],['Einfamilienhaus'],n.a,['1900'],n.a,['Gas'],['Etagenheizung'],2022-12-29
16,26faw5f,berlin,50,max. 15 km,2.950.000 €,['211 m²'],['4 Zi.'],['301 m²'],['Doppelhaushälfte'],n.a,['2018'],['B'],['Blockheizkraftwerk'],['Fußbodenheizung'],2022-12-29
17,27nbb5m,berlin,50,max. 15 km,4.200.000 €,['499.11 m²'],['10 Zi.'],['1.419 m²'],['Einfamilienhaus'],n.a,['1913'],['H'],['Öl'],n.a,2022-12-29
18,28qa458,berlin,50,max. 15 km,449.000 €,['104 m²'],['5 Zi.'],['266 m²'],['Reihenmittelhaus'],n.a,['1928'],['H'],['Gas'],['Zentralheizung'],2022-12-29
19,27b4y5h,berlin,50,max. 15 km,595.000 €,['120 m²'],['4 Zi.'],['433 m²'],['Einfamilienhaus'],n.a,['1995'],['F'],['Gas'],['Zentralheizung'],2022-12-29
20,27fz95t,berlin,50,max. 15 km,298.000 €,['70 m²'],['3 Zi.'],['145 m²'],['Reihenmittelhaus'],n.a,['1935'],n.a,['Elektro'],n.a,2022-12-29
21,28uck58,berlin,50,max. 15 km,654.000 €,['125.5 m²'],['5 Zi.'],['500 m²'],['Einfamilienhaus'],n.a,['1996'],['D'],['Öl'],['Zentralheizung'],2022-12-29
22,27w3b5u,berlin,50,max. 20 km,485.000 €,['104.12 m²'],['4 Zi.'],"['157,78 m²']",['Reihenendhaus'],n.a,['2019'],['B'],['Gas'],['Fußbodenheizung'],2022-12-29
23,278fh5k,berlin,50,max. 20 km,2.499.999 €,['619 m²'],['24 Zi.'],['950 m²'],['Mehrfamilienhaus'],['3 Geschosse'],['1980'],['G'],['Öl'],n.a,2022-12-29
24,27v535b,berlin,50,max. 20 km,5.749.000 €,['1016 m²'],['17 Zi.'],['7.418 m²'],['Villa'],n.a,['1914'],['E'],['Fernwärme'],"['offener Kamin, Zentralheizung']",2022-12-29
25,27zly57,berlin,50,max. 30 km,499.000 €,['109 m²'],['4 Zi.'],['405 m²'],['Einfamilienhaus'],n.a,['1995'],['D'],['Gas'],"['Fußbodenheizung, Zentralheizung']",2022-12-29
26,275g75s,berlin,50,max. 30 km,369.000 €,['166.22 m²'],['4 Zi.'],['936 m²'],['Einfamilienhaus'],n.a,['1975'],['E'],['Öl'],['Zentralheizung'],2022-12-29
27,27ygr5d,berlin,50,max. 30 km,675.000 €,['125.31 m²'],['4 Zi.'],['500 m²'],['Einfamilienhaus'],n.a,['1997'],['D'],['Gas'],"['Fußbodenheizung, offener Kamin, Zentralheizung']",2022-12-29
28,27tgt53,berlin,50,max. 30 km,799.000 €,['189 m²'],['6 Zi.'],['472 m²'],['Doppelhaushälfte'],['3 Geschosse'],['2022'],['A+'],n.a,"['Fußbodenheizung, Luft-/Wasser-Wärmepumpe, Zentralheizung']",2022-12-29
29,26bas5q,berlin,50,max. 30 km,598.000 €,['135.78 m²'],['5 Zi.'],['783 m²'],['Einfamilienhaus'],n.a,['1938'],['E'],['Gas'],['Zentralheizung'],2022-12-29
30,258m75z,berlin,50,max. 30 km,298.000 €,['70 m²'],['3 Zi.'],['401 m²'],['Doppelhaushälfte'],n.a,['1936'],['G'],['Elektro'],['offener Kamin'],2022-12-29
31,27je65f,berlin,50,max. 30 km,339.000 €,['140 m²'],['6 Zi.'],['1.299 m²'],['Einfamilienhaus'],n.a,['1920'],['H'],['Öl'],n.a,2022-12-29
32,2882658,berlin,50,max. 30 km,449.000 €,['130.19 m²'],['5 Zi.'],"['249,19 m²']",['Doppelhaushälfte'],n.a,['1999'],['D'],['Gas'],['Zentralheizung'],2022-12-29
33,27sl65n,berlin,50,max. 30 km,598.000 €,['305 m²'],['10 Zi.'],['567 m²'],['Mehrfamilienhaus'],n.a,['1995'],n.a,['Gas'],['Zentralheizung'],2022-12-29
34,255kf5z,berlin,50,max. 30 km,1.350.000 €,['545 m²'],['25 Zi.'],['3.214 m²'],['Einfamilienhaus'],n.a,['2002'],['C'],['Gas'],['Zentralheizung'],2022-12-29
35,25w4n5u,berlin,50,max. 30 km,1.099.000 €,['260 m²'],['10 Zi.'],['900 m²'],['Villa'],['2 Geschosse'],['1912'],['F'],['Gas'],['Zentralheizung'],2022-12-29
36,28e2d5d,berlin,50,max. 30 km,3.500.000 €,['844 m²'],['48 Zi.'],['427 m²'],['Mehrfamilienhaus'],n.a,['1756'],n.a,['Gas'],n.a,2022-12-29
37,27snp5e,berlin,50,max. 30 km,620.749 €,['124.85 m²'],['6 Zi.'],"['351,90 m²']",n.a,['2 Geschosse'],n.a,n.a,n.a,['Luft-/Wasser-Wärmepumpe'],2022-12-29
38,27zpl59,berlin,50,max. 50 km,950.000 €,['287 m²'],['6 Zi.'],['1.145 m²'],['Villa'],n.a,['1990'],['D'],['Gas'],"['offener Kamin, Zentralheizung']",2022-12-29
39,27mem5u,berlin,50,max. 50 km,799.000 €,['169 m²'],['6 Zi.'],['1.047 m²'],['Einfamilienhaus'],n.a,['2019'],['D'],['Gas'],n.a,2022-12-29
40,28t2h56,berlin,50,max. 50 km,570.000 €,['117.5 m²'],['4 Zi.'],['706 m²'],['Bungalow'],n.a,['2016'],['C'],['Gas'],['Fußbodenheizung'],2022-12-29
41,27xwa5d,berlin,50,max. 50 km,355.555 €,['82.36 m²'],['5 Zi.'],['504 m²'],['Bungalow'],n.a,['1986'],['C'],['Öl'],['Zentralheizung'],2022-12-29
42,26j9s5q,berlin,50,max. 50 km,275.000 €,['154 m²'],['7 Zi.'],['2.680 m²'],['Bauernhaus'],n.a,['1890'],['H'],['Gas'],['Zentralheizung'],2022-12-29
43,24qpr5n,berlin,50,max. 50 km,599.000 €,['268.35 m²'],['11 Zi.'],['1.981 m²'],['Mehrfamilienhaus'],n.a,['1921'],['D'],['Gas'],['Etagenheizung'],2022-12-29
44,27jzs54,berlin,50,max. 50 km,460.000 €,['134 m²'],['4 Zi.'],['530 m²'],n.a,['2 Geschosse'],['2018'],['B'],"['Gas, Solar']",['Fußbodenheizung'],2022-12-29
45,26z8259,berlin,50,max. 50 km,480.000 €,['115 m²'],['5 Zi.'],['1.000 m²'],['Einfamilienhaus'],['1 Geschoss'],['2001'],['E'],['Gas'],['Zentralheizung'],2022-12-29
46,27jah5w,berlin,50,max. 50 km,443.000 €,['90 m²'],['4 Zi.'],['654 m²'],['Einfamilienhaus'],n.a,['1990'],n.a,n.a,n.a,2022-12-29
47,26nbx5a,berlin,50,max. 5 km,44.444 €,['20 m²'],['2 Zi.'],['k.A.'],['Einfamilienhaus'],['1 Geschoss'],['2022'],n.a,['Elektro'],['Fußbodenheizung'],2022-12-29
48,27zc45x,berlin,50,max. 10 km,760.000 €,['144.67 m²'],['5 Zi.'],['132 m²'],['Reihenmittelhaus'],['3 Geschosse'],['2013'],['B'],n.a,['Zentralheizung'],2022-12-29
49,2783c58,berlin,50,max. 10 km,3.500.000 €,['295 m²'],['9 Zi.'],['1.128 m²'],['Villa'],n.a,['1900'],n.a,n.a,n.a,2022-12-29
50,289xe58,berlin,50,max. 10 km,auf Anfrage,['1490 m²'],[],['1.199 m²'],['Mehrfamilienhaus'],['4 Geschosse'],['1960'],['E'],['Öl'],['Zentralheizung'],2022-12-29
51,26rq55g,berlin,50,max. 10 km,870.000 €,['53 m²'],['2 Zi.'],['1.461 m²'],['Einfamilienhaus'],n.a,n.a,['H'],n.a,n.a,2022-12-29
52,28hzn53,berlin,50,max. 10 km,699.996 €,['176.42 m²'],['7 Zi.'],['601 m²'],['Einfamilienhaus'],n.a,['1987'],['D'],['Öl'],['Zentralheizung'],2022-12-29
53,27y4n5u,berlin,50,max. 10 km,649.000 €,['98 m²'],['4 Zi.'],['302 m²'],['Doppelhaushälfte'],['3 Geschosse'],['1970'],['E'],['Öl'],['Zentralheizung'],2022-12-29
54,28t7z57,berlin,50,max. 15 km,595.000 €,['96 m²'],['4 Zi.'],['573 m²'],['Doppelhaushälfte'],n.a,['1968'],['C'],['Gas'],['Zentralheizung'],2022-12-29
55,26qt55g,berlin,50,max. 15 km,835.000 €,['160 m²'],['7 Zi.'],['451 m²'],['Einfamilienhaus'],['2 Geschosse'],['1938'],['H'],['Gas'],['Zentralheizung'],2022-12-29
56,27w2q5p,berlin,50,max. 15 km,499.000 €,['105 m²'],['3 Zi.'],['356 m²'],['Doppelhaushälfte'],n.a,['1976'],['G'],['Öl'],['Zentralheizung'],2022-12-29
57,27nfc5t,berlin,50,max. 15 km,1.190.000 €,['146 m²'],['6 Zi.'],['328 m²'],['Reihenmittelhaus'],['3 Geschosse'],['1928'],['G'],['Gas'],['Zentralheizung'],2022-12-29
58,2887x5c,berlin,50,max. 15 km,679.000 €,['145.8 m²'],['5 Zi.'],"['382,70 m²']",['Einfamilienhaus'],['3 Geschosse'],['1977'],['F'],['Öl'],['Zentralheizung'],2022-12-29
59,28qcx57,berlin,50,max. 15 km,1.190.000 €,['143.29 m²'],['5 Zi.'],['781 m²'],['Villa'],n.a,['2006'],['A+'],['Erdwärme'],['Fußbodenheizung'],2022-12-29
60,285j45a,berlin,50,max. 15 km,735.000 €,['110 m²'],['5 Zi.'],['116 m²'],['Reihenmittelhaus'],n.a,n.a,n.a,n.a,n.a,2022-12-29
61,273st53,berlin,50,max. 15 km,849.000 €,['138 m²'],['4 Zi.'],['217 m²'],['Doppelhaushälfte'],['3 Geschosse'],['2022'],n.a,n.a,"['Fußbodenheizung, Luft-/Wasser-Wärmepumpe']",2022-12-29
62,276bz57,berlin,50,max. 15 km,469.000 €,['65.84 m²'],['3 Zi.'],['681 m²'],['Einfamilienhaus'],n.a,['1930'],['G'],['Gas'],"['Etagenheizung, offener Kamin']",2022-12-29
63,27yxx5v,berlin,50,max. 15 km,400.400 €,['80 m²'],['3 Zi.'],['715 m²'],['Bungalow'],n.a,['1934'],n.a,['Gas'],['Zentralheizung'],2022-12-29
64,27uhu5a,berlin,50,max. 15 km,2.350.000 €,['340 m²'],['10 Zi.'],['946 m²'],['Villa'],n.a,['1922'],n.a,['Gas'],"['Fußbodenheizung, offener Kamin']",2022-12-29
65,27jne5m,berlin,50,max. 15 km,599.000 €,['85 m²'],['4 Zi.'],['568 m²'],['Einfamilienhaus'],n.a,['1962'],n.a,n.a,['Zentralheizung'],2022-12-29
66,28xcw5a,berlin,50,max. 15 km,425.000 €,['107 m²'],['4 Zi.'],['206 m²'],['Reihenendhaus'],n.a,['1995'],['D'],['Gas'],['Zentralheizung'],2022-12-29
67,28zrg55,berlin,50,max. 20 km,590.000 €,['143 m²'],['4 Zi.'],['545 m²'],['Einfamilienhaus'],n.a,['1998'],n.a,n.a,n.a,2022-12-29
68,26j335v,berlin,50,max. 20 km,799.000 €,['172.56 m²'],['5 Zi.'],['215 m²'],['Stadthaus'],['3 Geschosse'],['2023'],['A+'],['Elektro'],"['Fußbodenheizung, Luft-/Wasser-Wärmepumpe']",2022-12-29
69,26b2c5j,berlin,50,max. 20 km,790.000 €,['125 m²'],['5 Zi.'],['273 m²'],['Doppelhaushälfte'],['3 Geschosse'],['2022'],n.a,['Erdwärme'],['Fußbodenheizung'],2022-12-29
70,2797j5v,berlin,50,max. 20 km,399.000 €,['99 m²'],['3 Zi.'],"['374,50 m²']",['Mehrfamilienhaus'],n.a,['1935'],['A'],['Öl'],"['Fußbodenheizung, Zentralheizung']",2022-12-29
71,27zv55d,berlin,50,max. 20 km,1.100.000 €,['230 m²'],['6 Zi.'],['739 m²'],['Einfamilienhaus'],['3 Geschosse'],['1965'],['E'],['Öl'],"['Fußbodenheizung, Zentralheizung']",2022-12-29
72,27wbh55,berlin,50,max. 20 km,850.000 €,['175 m²'],['7 Zi.'],['1.003 m²'],['Mehrfamilienhaus'],n.a,['1955'],n.a,['Öl'],"['Fußbodenheizung, offener Kamin']",2022-12-29
73,28amq5b,berlin,50,max. 20 km,590.000 €,['110 m²'],['4.5 Zi.'],['870 m²'],['Einfamilienhaus'],['2 Geschosse'],['1955'],['H'],['Gas'],['Zentralheizung'],2022-12-29
74,277z75s,berlin,50,max. 20 km,749.000 €,['215.55 m²'],['5.5 Zi.'],['740 m²'],['Einfamilienhaus'],n.a,['1965'],['F'],['Gas'],['offener Kamin'],2022-12-29
75,27ue85g,berlin,50,max. 20 km,1.350.000 €,['134 m²'],['4 Zi.'],['384 m²'],['Einfamilienhaus'],n.a,['1989'],['D'],['Gas'],['offener Kamin'],2022-12-29
76,26gkz57,berlin,50,max. 20 km,600.000 €,['141 m²'],['4.5 Zi.'],['620 m²'],['Einfamilienhaus'],['2 Geschosse'],['2012'],['C'],"['Gas, Solar']","['offener Kamin, Zentralheizung']",2022-12-29
77,27xbr5j,berlin,50,max. 20 km,550.000 €,['126 m²'],['4 Zi.'],['173 m²'],['Reihenmittelhaus'],n.a,['2014'],['B'],['Gas'],['Fußbodenheizung'],2022-12-29
78,2899452,berlin,50,max. 20 km,375.000 €,['65 m²'],['3 Zi.'],['850 m²'],n.a,n.a,['1944'],n.a,['Gas'],['Zentralheizung'],2022-12-29
79,25mw85k,berlin,50,max. 20 km,650.000 €,['157 m²'],['5 Zi.'],['1.082 m²'],['Mehrfamilienhaus'],['2 Geschosse'],['1898'],['H'],['Gas'],['Etagenheizung'],2022-12-29
80,27j9t52,berlin,50,max. 20 km,890.000 €,['164 m²'],['3 Zi.'],['1.446 m²'],['Einfamilienhaus'],n.a,['1996'],['C'],['Gas'],"['Fußbodenheizung, offener Kamin']",2022-12-29
81,2834t5b,berlin,50,max. 30 km,750.000 €,['130 m²'],['4 Zi.'],['410 m²'],['Doppelhaushälfte'],['2 Geschosse'],['2008'],n.a,['Gas'],['Zentralheizung'],2022-12-29
82,28zz753,berlin,50,max. 30 km,1.198.000 €,['163 m²'],['4 Zi.'],['1.152 m²'],['Einfamilienhaus'],n.a,['1993'],['D'],['Gas'],"['Fußbodenheizung, offener Kamin']",2022-12-29
83,27c8n56,berlin,50,max. 30 km,395.000 €,['71 m²'],['3 Zi.'],['1.150 m²'],['Einfamilienhaus'],n.a,['1975'],['G'],['Gas'],['Zentralheizung'],2022-12-29
84,27ewh5w,berlin,50,max. 30 km,585.000 €,['133 m²'],['4 Zi.'],['662 m²'],['Doppelhaushälfte'],['2 Geschosse'],['2023'],n.a,n.a,"['Fußbodenheizung, Luft-/Wasser-Wärmepumpe']",2022-12-29
85,28n3q5a,berlin,50,max. 30 km,1.280.000 €,['256.21 m²'],['11 Zi.'],['765 m²'],['Mehrfamilienhaus'],n.a,['1998'],['D'],['Gas'],"['Fußbodenheizung, Zentralheizung']",2022-12-29
86,279b75n,berlin,50,max. 30 km,850.000 €,['180 m²'],['6 Zi.'],['718 m²'],['Einfamilienhaus'],n.a,['2017'],['D'],['Gas'],"['Fußbodenheizung, offener Kamin']",2022-12-29
87,28xqn5b,berlin,50,max. 30 km,995.000 €,['164 m²'],['5 Zi.'],['438 m²'],['Doppelhaushälfte'],n.a,['2022'],['A+'],n.a,"['Fußbodenheizung, Luft-/Wasser-Wärmepumpe']",2022-12-29
88,27hrm59,berlin,50,max. 30 km,695.000 €,['115 m²'],['4 Zi.'],['730 m²'],['Doppelhaushälfte'],n.a,['2022'],['A'],n.a,"['Fußbodenheizung, Luft-/Wasser-Wärmepumpe']",2022-12-29
89,282zd5c,berlin,50,max. 30 km,1.250.000 €,['276 m²'],['9 Zi.'],['857 m²'],['Villa'],n.a,['1997'],n.a,"['Gas, Solar']","['Fußbodenheizung, offener Kamin, Zentralheizung']",2022-12-29
90,26qt75s,berlin,50,max. 30 km,850.000 €,['215 m²'],['6 Zi.'],['1.236 m²'],['Einfamilienhaus'],['2 Geschosse'],['2003'],n.a,['Gas'],"['Fußbodenheizung, Zentralheizung']",2022-12-29
91,27ytn5f,berlin,50,max. 30 km,610.000 €,['109.8 m²'],['5 Zi.'],['858 m²'],n.a,['2 Geschosse'],['1937'],n.a,['Öl'],['Zentralheizung'],2022-12-29
92,27ld25w,berlin,50,max. 30 km,630.000 €,['119.21 m²'],['4 Zi.'],['558 m²'],['Einfamilienhaus'],n.a,['2012'],n.a,['Gas'],['Zentralheizung'],2022-12-29
93,28bu75a,berlin,50,max. 30 km,400.000 €,['100 m²'],['3 Zi.'],['1.130 m²'],['Einfamilienhaus'],n.a,['1985'],['D'],['Öl'],['Zentralheizung'],2022-12-29
94,28pz456,berlin,50,max. 30 km,849.000 €,['200 m²'],['7 Zi.'],['820 m²'],['Einfamilienhaus'],n.a,['2008'],['B'],n.a,"['Fußbodenheizung, offener Kamin']",2022-12-29
95,263kh5h,berlin,50,max. 30 km,795.000 €,['104 m²'],['4 Zi.'],['1.129 m²'],['Einfamilienhaus'],n.a,['2000'],['D'],['Gas'],['Fußbodenheizung'],2022-12-29
96,28b3954,berlin,50,max. 30 km,849.000 €,['171 m²'],['3 Zi.'],['1.035 m²'],['Einfamilienhaus'],n.a,['1929'],['C'],['Gas'],['Zentralheizung'],2022-12-29
97,289p75c,berlin,50,max. 30 km,625.000 €,['130 m²'],['4 Zi.'],['1.240 m²'],['Einfamilienhaus'],['1 Geschoss'],['2005'],['A+'],['Elektro'],"['Ofen, Zentralheizung']",2022-12-29
98,27pev5h,berlin,50,max. 30 km,690.000 €,['100 m²'],['3 Zi.'],['1.239 m²'],['Einfamilienhaus'],n.a,['1976'],['C'],['Gas'],"['offener Kamin, Zentralheizung']",2022-12-29
99,28u2z55,berlin,50,max. 30 km,210.000 €,['97 m²'],['4 Zi.'],['899 m²'],['Doppelhaushälfte'],['1 Geschoss'],['1933/ 1968/1974'],n.a,['Gas'],['Zentralheizung'],2022-12-29
100,28xaa54,berlin,50,max. 30 km,379.000 €,['100 m²'],['3 Zi.'],['137 m²'],['Reihenmittelhaus'],n.a,['1994'],['E'],['Gas'],['Zentralheizung'],2022-12-29
101,27q6r5f,berlin,50,max. 30 km,320.000 €,['153 m²'],['5 Zi.'],['645 m²'],['Einfamilienhaus'],n.a,['1908'],['F'],['Gas'],['Zentralheizung'],2022-12-29
102,287wf59,berlin,50,max. 30 km,398.500 €,['121 m²'],['4 Zi.'],['186 m²'],['Reihenmittelhaus'],n.a,['1999'],['D'],['Gas'],"['offener Kamin, Zentralheizung']",2022-12-29
103,27emt5w,berlin,50,max. 30 km,799.000 €,['135 m²'],['6 Zi.'],['450 m²'],['Einfamilienhaus'],['2 Geschosse'],['1935'],n.a,"['Holz, Öl']","['Ofen, Zentralheizung']",2022-12-29
104,27j9q5u,berlin,50,max. 30 km,699.000 €,['188 m²'],['7 Zi.'],['1.157 m²'],['Einfamilienhaus'],n.a,['1994'],['C'],['Elektro'],"['Etagenheizung, offener Kamin']",2022-12-29
105,28sr853,berlin,50,max. 30 km,585.000 €,['110 m²'],['5 Zi.'],['250 m²'],['Doppelhaushälfte'],n.a,n.a,n.a,n.a,n.a,2022-12-29
106,27k9f53,berlin,50,max. 30 km,548.000 €,['183 m²'],['4 Zi.'],['574 m²'],['Einfamilienhaus'],n.a,['2004'],['C'],['Gas'],['Fußbodenheizung'],2022-12-29
107,27vtf5c,berlin,50,max. 30 km,202.000 €,['115 m²'],['4 Zi.'],['4.451 m²'],n.a,n.a,['1971'],n.a,['Gas'],['Zentralheizung'],2022-12-29
108,28u6r59,berlin,50,max. 30 km,795.000 €,['139 m²'],['7 Zi.'],['257 m²'],['Doppelhaushälfte'],['2 Geschosse'],['2022'],['A+'],['Elektro'],"['Fußbodenheizung, Luft-/Wasser-Wärmepumpe']",2022-12-29
109,287rv55,berlin,50,max. 30 km,639.000 €,['143 m²'],['4 Zi.'],['428 m²'],['Doppelhaushälfte'],['2 Geschosse'],['1996'],n.a,['Gas'],n.a,2022-12-29
110,28ht75c,berlin,50,max. 30 km,575.000 €,['125 m²'],['4 Zi.'],['886 m²'],['Einfamilienhaus'],n.a,['1980'],['C'],['Gas'],['Zentralheizung'],2022-12-29
111,284s757,berlin,50,max. 30 km,335.000 €,['69 m²'],['3 Zi.'],['780 m²'],['Einfamilienhaus'],n.a,['1924'],n.a,n.a,n.a,2022-12-29
112,27yf85p,berlin,50,max. 30 km,550.000 €,['208 m²'],['7 Zi.'],['659 m²'],['Villa'],['2 Geschosse'],['1911'],['G'],"['Elektro, Holz']",['Ofen'],2022-12-29
113,27tke53,berlin,50,max. 30 km,820.000 €,['132 m²'],['4 Zi.'],['611 m²'],['Villa'],['2 Geschosse'],['2011'],n.a,['Fernwärme'],['Fußbodenheizung'],2022-12-29
114,28kpg59,berlin,50,max. 30 km,599.000 €,['187 m²'],['4 Zi.'],['1.273 m²'],['Einfamilienhaus'],n.a,['1996'],['D'],['Gas'],"['offener Kamin, Zentralheizung']",2022-12-29
115,28wga57,berlin,50,max. 50 km,394.000 €,['125 m²'],['4 Zi.'],['400 m²'],['Einfamilienhaus'],n.a,['2005'],n.a,['Gas'],['Zentralheizung'],2022-12-29
116,27gzb5b,berlin,50,max. 50 km,865.000 €,['216 m²'],['7 Zi.'],['623 m²'],['Einfamilienhaus'],n.a,n.a,n.a,['Gas'],['Fußbodenheizung'],2022-12-29
117,2747u59,berlin,50,max. 50 km,288.000 €,['100 m²'],['3 Zi.'],['350 m²'],['Einfamilienhaus'],['1 Geschoss'],['2023'],n.a,n.a,"['Fußbodenheizung, Luft-/Wasser-Wärmepumpe']",2022-12-29
118,27mfb5f,berlin,50,max. 50 km,725.000 €,['141 m²'],['5 Zi.'],['728 m²'],['Einfamilienhaus'],['3 Geschosse'],['2004'],n.a,"['Elektro, Gas']",['Zentralheizung'],2022-12-29
