,ID,Ort,Umkreis,MaxOrt,Preis,Fläche,Zimmer,Grundstücksfläche,Kategorie,Etagen,Baujahr,Effizienzklasse,Energieträger,Heizungsart,Stand
0,28zn659,berlin,50,max. 15 km,7.790.000 €,['780 m²'],['30 Zi.'],['1.696 m²'],['Villa'],['5 Geschosse'],['1890'],n.a,n.a,n.a,2023-01-02
1,28jr359,berlin,50,max. 30 km,450.000 €,['111 m²'],['5 Zi.'],['1.100 m²'],['Einfamilienhaus'],['2 Geschosse'],['1936'],['H'],"['Gas, Kohle']",['Zentralheizung'],2023-01-02
2,274he5l,berlin,50,max. 10 km,690.000 €,['323 m²'],['8 Zi.'],['393 m²'],['Mehrfamilienhaus'],n.a,['1990'],['D'],['Gas'],['Zentralheizung'],2023-01-02
3,284bu5a,berlin,50,max. 10 km,835.500 €,['90 m²'],['4 Zi.'],['620 m²'],['Einfamilienhaus'],n.a,n.a,n.a,n.a,n.a,2023-01-02
4,28u535d,berlin,50,max. 10 km,548.000 €,['90 m²'],['4 Zi.'],['290 m²'],['Doppelhaushälfte'],n.a,n.a,n.a,n.a,n.a,2023-01-02
5,279kt5y,berlin,50,max. 10 km,1.700.000 €,['186.62 m²'],['8 Zi.'],['502 m²'],['Mehrfamilienhaus'],n.a,['1936'],n.a,['Fernwärme'],['Zentralheizung'],2023-01-02
6,27a225p,berlin,50,max. 10 km,7.500.000 €,['524.46 m²'],['9.5 Zi.'],['1.032 m²'],['Villa'],n.a,['2005'],['D'],['Gas'],"['Fußbodenheizung, Zentralheizung']",2023-01-02
7,28g8n58,berlin,50,max. 10 km,1.750.000 €,['140 m²'],['5 Zi.'],['1.200 m²'],['Doppelhaushälfte'],n.a,['1925'],n.a,['Gas'],['Zentralheizung'],2023-01-02
8,27w5v5j,berlin,50,max. 15 km,795.000 €,['170 m²'],['8 Zi.'],['568 m²'],['Einfamilienhaus'],n.a,['1933'],['F'],['Gas'],n.a,2023-01-02
9,28lxe59,berlin,50,max. 15 km,790.000 €,['103 m²'],['3 Zi.'],['301 m²'],['Doppelhaushälfte'],n.a,n.a,n.a,n.a,['Fußbodenheizung'],2023-01-02
10,28z335d,berlin,50,max. 15 km,950.000 €,['179 m²'],['6 Zi.'],['482 m²'],['Einfamilienhaus'],n.a,['1936'],['F'],n.a,n.a,2023-01-02
