,ID,Ort,Umkreis,MaxOrt,Preis,Fläche,Zimmer,Grundstücksfläche,Kategorie,Etagen,Baujahr,Effizienzklasse,Energieträger,Heizungsart
6148,26tf85u,stuttgart,50,max. 30 km,753.000 €,['225 m²'],['7 Zi.'],['420 m²'],['Doppelhaushälfte'],n.a,n.a,n.a,n.a,['Fußbodenheizung']
6149,25ry95r,stuttgart,50,max. 30 km,869.000 €,['280 m²'],['12 Zi.'],['333 m²'],['Herrenhaus'],n.a,['1909'],n.a,['Gas'],['Etagenheizung']
6150,28z2z55,stuttgart,50,max. 30 km,799.000 €,['213.75 m²'],['6 Zi.'],['481 m²'],['Einfamilienhaus'],['2 Geschosse'],['1976'],['F'],['Elektro'],['Etagenheizung']
6151,28bpz5b,stuttgart,50,max. 30 km,844.000 €,['131 m²'],['4 Zi.'],['468 m²'],n.a,n.a,n.a,n.a,n.a,['Fußbodenheizung']
6152,28ngz5b,stuttgart,50,max. 30 km,811.000 €,['124 m²'],['4 Zi.'],['468 m²'],n.a,n.a,n.a,n.a,n.a,['Fußbodenheizung']
6153,279r557,stuttgart,50,max. 30 km,469.000 €,[],['5 Zi.'],['556 m²'],['Mehrfamilienhaus'],n.a,n.a,['H'],n.a,n.a
6154,27xtf59,stuttgart,50,max. 30 km,419.900 €,['140.56 m²'],['6 Zi.'],['350 m²'],['Einfamilienhaus'],['2 Geschosse'],['1958'],['H'],['Öl'],"['Ofen, Zentralheizung']"
6155,267kw5w,stuttgart,50,max. 30 km,550.000 €,['167 m²'],['7.5 Zi.'],['373 m²'],['Doppelhaushälfte'],['4 Geschosse'],['1974'],n.a,"['Öl, Solar']",['Zentralheizung']
6156,28zjb54,stuttgart,50,max. 30 km,1.950.000 €,['356 m²'],['9.5 Zi.'],['1.507 m²'],['Mehrfamilienhaus'],['3 Geschosse'],['1975'],['D'],"['Holz, Öl']","['offener Kamin, Zentralheizung']"
6157,28myz55,stuttgart,50,max. 30 km,2.950.000 €,['733 m²'],['30 Zi.'],['1.474 m²'],['Mehrfamilienhaus'],n.a,['1960'],n.a,['Gas'],['Zentralheizung']
6158,2529m5j,stuttgart,50,max. 30 km,1.500.000 €,['300 m²'],[],['875 m²'],['Mehrfamilienhaus'],n.a,['1970'],n.a,"['Gas, Öl']",['Zentralheizung']
6159,26cdl5g,stuttgart,50,max. 30 km,750.000 €,['211 m²'],['5 Zi.'],['506 m²'],n.a,['2 Geschosse'],['1982'],['C'],"['Holz, Öl']",['Zentralheizung']
6160,26emf5d,stuttgart,50,max. 30 km,798.700 €,['151.89 m²'],['5 Zi.'],"['271,70 m²']",['Doppelhaushälfte'],n.a,['2022-2023'],['A+'],n.a,['Luft-/Wasser-Wärmepumpe']
6161,26whf5d,stuttgart,50,max. 30 km,786.600 €,['149.93 m²'],['5 Zi.'],['209 m²'],['Doppelhaushälfte'],n.a,['2022-2023'],['A+'],n.a,['Luft-/Wasser-Wärmepumpe']
6162,27rkx5h,stuttgart,50,max. 30 km,400.000 €,['142.5 m²'],['5 Zi.'],['821 m²'],['Einfamilienhaus'],['2 Geschosse'],['1960'],n.a,['Öl'],['Zentralheizung']
6163,28qzy52,stuttgart,50,max. 50 km,2.121.000 €,['408.76 m²'],['16 Zi.'],['428 m²'],['Mehrfamilienhaus'],n.a,['2022'],n.a,['Fernwärme'],['Fußbodenheizung']
6164,275w35w,stuttgart,50,max. 50 km,1.550.000 €,['373.44 m²'],['14 Zi.'],['373 m²'],n.a,n.a,['1934'],n.a,['Gas'],['Zentralheizung']
6165,26pv559,stuttgart,50,max. 50 km,980.000 €,['245 m²'],['9 Zi.'],['k.A.'],['Mehrfamilienhaus'],n.a,['1950'],n.a,['Gas'],['Zentralheizung']
6166,268wt5w,stuttgart,50,max. 50 km,585.000 €,['159 m²'],['5.5 Zi.'],['350 m²'],['Doppelhaushälfte'],['3 Geschosse'],['1991'],n.a,"['Pellets, Solar']",['Zentralheizung']
6167,28uez5b,stuttgart,50,max. 50 km,697.000 €,['124 m²'],['4 Zi.'],['693 m²'],n.a,n.a,n.a,n.a,n.a,['Fußbodenheizung']
