,Sollzinsbindung,Effektiver Jahreszins,Datenstand
0,5 Jahre,"['3,40']",['21.12.2022 16:30']
1,10 Jahre,"['3,39']",['21.12.2022 16:30']
2,15 Jahre,"['3,43']",['21.12.2022 16:30']
3,20 Jahre,"['3,66']",['21.12.2022 16:30']
4,25 Jahre,"['3,90']",['21.12.2022 16:30']
